device,date,hour,power,current,voltage,energy,isOn
bulb,12/8/2025,0,38.48,6.3,6.57,0.01343,True
bulb,12/8/2025,1,34.04,6.48,8.86,0.00956,True
bulb,12/8/2025,2,37.95,6.44,6.0,0.0072,True
bulb,12/8/2025,3,38.62,6.38,6.46,0.00542,True
bulb,12/8/2025,4,40.41,6.61,7.5,0.00416,True
bulb,12/8/2025,5,41.74,6.88,5.97,0.00748,True
bulb,12/8/2025,6,35.79,6.79,8.85,0.01001,True
bulb,12/8/2025,7,33.05,6.47,7.47,0.01393,True
bulb,12/8/2025,8,41.41,6.23,6.21,0.01241,True
bulb,12/8/2025,9,41.21,6.77,8.34,0.01024,True
bulb,12/8/2025,10,33.65,6.45,7.95,0.01143,True
bulb,12/8/2025,11,33.64,6.29,8.45,0.0096,True
bulb,12/8/2025,12,38.87,6.35,5.38,0.01279,True
bulb,12/8/2025,13,40.29,6.23,8.09,0.01129,True
bulb,12/8/2025,14,33.14,6.51,8.9,0.00973,True
bulb,12/8/2025,15,32.43,6.2,8.14,0.01113,True
bulb,12/8/2025,16,39.16,6.8,5.29,0.00884,True
bulb,12/8/2025,17,40.77,5.92,8.22,0.00726,True
bulb,12/8/2025,18,33.69,6.72,6.77,0.01192,True
bulb,12/8/2025,19,37.89,6.49,7.42,0.01203,True
bulb,12/8/2025,20,37.33,6.76,8.26,0.007,True
bulb,12/8/2025,21,35.94,6.73,7.04,0.00718,True
bulb,12/8/2025,22,37.1,6.45,5.54,0.00836,True
bulb,12/8/2025,23,32.98,6.22,6.96,0.01067,True
bulb,12/7/2025,0,33.74,5.94,8.42,0.00862,True
bulb,12/7/2025,1,40.74,6.51,7.7,0.0135,True
bulb,12/7/2025,2,41.33,6.08,6.4,0.00678,True
bulb,12/7/2025,3,41.47,6.55,6.77,0.0044,True
bulb,12/7/2025,4,41.97,6.51,8.44,0.00659,True
bulb,12/7/2025,5,35.32,6.5,7.49,0.01042,True
bulb,12/7/2025,6,38.47,5.9,6.5,0.00749,True
bulb,12/7/2025,7,38.15,6.5,5.5,0.00416,True
bulb,12/7/2025,8,38.68,6.5,4.99,0.00593,True
bulb,12/7/2025,9,32.35,6.82,6.05,0.01111,True
bulb,12/7/2025,10,38.64,6.49,6.86,0.00429,True
bulb,12/7/2025,11,36.41,6.77,8.75,0.00454,True
bulb,12/7/2025,12,39.03,6.78,7.27,0.0052,True
bulb,12/7/2025,13,33.63,6.82,6.54,0.0088,True
bulb,12/7/2025,14,41.24,6.42,8.37,0.00935,True
bulb,12/7/2025,15,35.98,6.36,6.26,0.0102,True
bulb,12/7/2025,16,41.38,6.63,5.43,0.01056,True
bulb,12/7/2025,17,40.97,6.57,7.79,0.01324,True
bulb,12/7/2025,18,39.05,6.34,7.52,0.01212,True
bulb,12/7/2025,19,40.27,6.22,6.48,0.00436,True
